"Timestamp","Please rank the emojis  (1 being your most  used one and 6  is the least) [😂]","Please rank the emojis  (1 being your most  used one and 6  is the least) [❤️]","Please rank the emojis  (1 being your most  used one and 6  is the least) [👍]","Please rank the emojis  (1 being your most  used one and 6  is the least) [😃]","Please rank the emojis  (1 being your most  used one and 6  is the least) [😎]","Please rank the emojis  (1 being your most  used one and 6  is the least) [🥰]","Please rank the sounds from most calming to least [Rain]","Please rank the sounds from most calming to least [Ocean]","Please rank the sounds from most calming to least [Wind]","Please rank the sounds from most calming to least [Birds]","Please rank the sounds from most calming to least [Whitenoise]","Please rank the sounds from most calming to least [Instrumental music]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Lol]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Lmk]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Omg]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Idk]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Jk]","Please rank the texting abbreviations (1 being your most  used one and 6  is the least) [Tbh]"
"2021/02/21 8:29:39 PM EST","1","2","5","4","6","3","1","2","6","4","5","3","1","4","3","2","5","6"
"2021/02/21 8:41:53 PM EST","1","2","6","4","5","3","3","4","5","6","1","2","1","4","2","3","5","6"
"2021/02/21 8:44:51 PM EST","1","2","5","4","2","2","5","1","1","1","2","3","6","4","5","4","5","5"
"2021/02/21 8:49:38 PM EST","1","3","4","6","5","2","1","3","6","5","4","2","1","6","3","2","4","5"
"2021/02/21 8:50:52 PM EST","1","6","4","3","5","2","3","2","6","4","5","1","2","6","1","3","5","4"
"2021/02/21 8:52:58 PM EST","2","3","6","6","6","2","1","1","3","6","4","4","1","1","1","1","3","1"
"2021/02/21 9:06:00 PM EST","1","2","5","4","2","2","5","1","1","1","2","3","6","4","5","4","5","5"
"2021/02/21 9:24:40 PM EST","4","2","3","6","5","1","1","2","3","5","4","6","6","4","5","1","2","3"
"2021/02/21 9:34:10 PM EST","3","1","6","4","5","2","2","1","5","4","6","3","1","1","1","1","2","1"
"2021/02/21 9:35:00 PM EST","1","2","5","4","2","2","5","1","1","1","2","3","6","4","5","4","5","5"
"2021/02/21 10:36:30 PM EST","1","2","3","4","5","6","1","2","3","5","6","4","1","5","2","6","3","4"
"2021/02/21 10:49:07 PM EST","6","6","1","1","1","1","5","4","2","1","3","6","6","1","3","5","4","2"
"2021/02/21 11:18:05 PM EST","2","3","6","6","6","2","1","1","3","6","4","4","1","1","1","1","3","1"
"2021/02/22 12:05:51 AM EST","5","4","3","1","2","6","5","4","2","3","1","6","6","1","5","2","3","4"
"2021/02/22 12:11:34 AM EST","2","1","4","5","6","3","2","3","4","5","1","6","5","3","1","4","6","2"
"2021/02/22 12:41:32 AM EST","1","1","1","6","3","1","4","1","6","6","6","6","1","6","6","5","6","6"
"2021/02/22 12:45:28 AM EST","3","2","1","6","5","4","2","1","3","5","4","6","1","3","2","5","6","4"
"2021/02/22 12:54:15 AM EST","1","5","2","3","4","6","1","2","5","4","6","3","1","2","6","3","5","4"
"2021/02/22 1:33:13 AM EST","5","4","3","1","2","6","5","4","2","3","1","6","6","1","5","2","3","4"
"2021/02/22 1:34:19 AM EST","4","5","2","1","3","6","4","6","2","3","1","5","4","1","6","5","3","2"
"2021/02/22 2:28:03 AM EST","4","1","3","6","5","2","1","1","2","3","4","2","2","4","1","1","1","1"
"2021/02/22 3:45:28 AM EST","4","1","3","6","5","2","1","1","2","3","4","2","2","4","1","1","1","1"
"2021/02/22 6:43:11 AM EST","3","2","1","6","5","4","2","1","3","5","4","6","1","3","2","5","6","4"
"2021/02/22 7:51:58 AM EST","4","2","3","5","6","1","2","1","5","4","6","3","1","3","2","4","6","5"
"2021/02/22 8:37:59 AM EST","3","1","4","5","6","2","3","2","5","4","6","1","4","3","1","2","5","6"
"2021/02/22 8:54:33 AM EST","6","1","3","6","6","4","2","1","5","3","5","2","1","2","4","3","6","5"
"2021/02/22 8:55:38 AM EST","4","2","3","6","5","1","2","1","3","5","6","4","1","5","3","2","6","4"
"2021/02/22 12:04:07 PM EST","4","2","3","6","5","1","2","1","3","5","6","4","1","5","3","2","6","4"
"2021/02/22 12:13:58 PM EST","1","4","2","5","6","6","1","1","1","1","6","1","1","2","6","3","5","4"
"2021/02/22 12:47:59 PM EST","6","4","3","5","1","2","2","3","4","5","6","1","1","5","2","3","6","4"
"2021/02/22 12:51:49 PM EST","6","4","1","3","1","2","6","6","4","4","2","6","6","4","2","6","6","4"
"2021/02/22 1:10:49 PM EST","5","4","6","3","2","1","6","4","3","2","5","1","6","1","4","5","3","2"
"2021/02/23 5:30:32 PM EST","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1"
